,Season_ID,Season,League,Player_ID,Players,Points,Clubs,Position,Start,Goals,A,CS,CS.part,Yellow,Red,Sub,CO,Off,Pen.SV,Pen.M,Goals.conceded,Conceded.1.,OG
10264,06/07-PL,2006/2007,Premier League,06/07-Kerimoglu Tugay,Kerimoglu Tugay,55,BRFC,Midfielder,26,1,0,-,-,3,1,7,4,16,-,0,-,-,0
10265,06/07-PL,2006/2007,Premier League,06/07-Claude Makelele,Claude Makelele,55,CHEL,Midfielder,26,1,0,-,-,5,0,5,3,10,-,0,-,-,0
10266,06/07-PL,2006/2007,Premier League,06/07-Moritz Volz,Moritz Volz,54,FFC,Defender,24,2,1,3,2,3,0,8,5,10,-,0,49,25,0
10267,06/07-PL,2006/2007,Premier League,06/07-Fabio Rochemback,Fabio Rochemback,54,MFC,Midfielder,17,2,4,-,-,5,0,9,3,4,-,0,-,-,0
10268,06/07-PL,2006/2007,Premier League,06/07-Michael Tonge,Michael Tonge,54,SUFC,Midfielder,23,2,0,-,-,6,0,4,4,5,-,0,-,-,0
10269,06/07-PL,2006/2007,Premier League,06/07-Noe Pamarot,Noe Pamarot,53,PFC,Defender,21,2,0,4,1,4,0,11,2,4,-,0,33,15,0
10270,06/07-PL,2006/2007,Premier League,06/07-Ji Sung Park,Ji Sung Park,53,MUFC,Midfielder,8,5,2,-,-,0,0,8,6,4,-,0,-,-,0
10271,06/07-PL,2006/2007,Premier League,06/07-Teemu Tainio,Teemu Tainio,53,SPURS,Midfielder,20,2,1,-,-,1,0,1,1,12,-,0,-,-,0
10272,06/07-PL,2006/2007,Premier League,06/07-Stephen Carr,Stephen Carr,53,NEWU,Defender,23,0,0,4,1,2,0,0,0,1,-,0,27,9,0
10273,06/07-PL,2006/2007,Premier League,06/07-Gabriel Heinze,Gabriel Heinze,53,MUFC,Defender,17,0,1,3,4,5,0,7,5,4,-,0,19,4,0
10274,06/07-PL,2006/2007,Premier League,06/07-Amdy Faye,Amdy Faye,52,CHFC,Midfielder,25,1,0,-,-,6,0,5,3,9,-,0,-,-,0
10275,06/07-PL,2006/2007,Premier League,06/07-Damien Duff,Damien Duff,52,NEWU,Midfielder,20,1,2,-,-,1,0,2,2,5,-,0,-,-,0
10276,06/07-PL,2006/2007,Premier League,06/07-Josip Skoko,Josip Skoko,52,WAFC,Midfielder,24,0,1,-,-,3,0,5,4,6,-,0,-,-,0
10277,06/07-PL,2006/2007,Premier League,06/07-Jimmy Floyd Hasselbaink,Jimmy Floyd Hasselbaink,52,CHFC,Forward,11,2,3,-,-,3,0,19,14,6,-,0,-,-,0
10278,06/07-PL,2006/2007,Premier League,06/07-Didier Zokora,Didier Zokora,52,SPURS,Midfielder,26,0,0,-,-,2,1,6,5,7,-,0,-,-,0
10279,06/07-PL,2006/2007,Premier League,06/07-Matthew Etherington,Matthew Etherington,52,WESTHAM,Midfielder,24,0,1,-,-,2,0,3,3,9,-,0,-,-,0
10280,06/07-PL,2006/2007,Premier League,06/07-Lee Cattermole,Lee Cattermole,51,MFC,Midfielder,22,1,1,-,-,10,0,9,9,11,-,0,-,-,0
10281,06/07-PL,2006/2007,Premier League,06/07-Chris Morgan,Chris Morgan,51,SUFC,Defender,21,1,1,5,1,6,0,10,3,1,-,0,36,18,0
10282,06/07-PL,2006/2007,Premier League,06/07-Nick Montgomery,Nick Montgomery,50,SUFC,Defender,22,0,2,5,1,7,0,7,4,5,-,0,39,19,0
10283,06/07-PL,2006/2007,Premier League,06/07-Ledley King,Ledley King,50,SPURS,Defender,21,0,1,4,0,1,0,0,0,1,-,0,27,10,0
10284,06/07-PL,2006/2007,Premier League,06/07-Stephen Quinn,Stephen Quinn,49,SUFC,Midfielder,15,2,3,-,-,0,0,0,0,7,-,0,-,-,0
10285,06/07-PL,2006/2007,Premier League,06/07-Mark Gonzalez,Mark Gonzalez,49,LPOOL,Midfielder,14,2,0,-,-,0,0,13,11,12,-,0,-,-,0
10286,06/07-PL,2006/2007,Premier League,06/07-Jon Stead,Jon Stead,49,SUFC,Forward,12,5,0,-,-,2,0,3,2,5,-,0,-,-,0
10287,06/07-PL,2006/2007,Premier League,06/07-Luis Garcia,Luis Garcia,49,LPOOL,Forward,11,3,3,-,-,3,0,6,6,6,-,0,-,-,0
10288,06/07-PL,2006/2007,Premier League,06/07-Dennis Rommedahl,Dennis Rommedahl,49,CHFC,Forward,19,0,1,-,-,1,0,15,9,8,-,0,-,-,0
10289,06/07-PL,2006/2007,Premier League,06/07-Danny Webber,Danny Webber,48,SUFC,Forward,13,3,0,-,-,0,0,15,9,7,-,1,-,-,0
10290,06/07-PL,2006/2007,Premier League,06/07-George McCartney,George McCartney,48,WESTHAM,Defender,16,0,1,3,6,4,0,9,6,3,-,0,26,13,0
10291,06/07-PL,2006/2007,Premier League,06/07-Marlon King,Marlon King,48,WFC,Forward,12,4,1,-,-,0,0,1,1,0,-,0,-,-,0
10292,06/07-PL,2006/2007,Premier League,06/07-Martin Laursen,Martin Laursen,48,AVILLA,Defender,12,0,1,5,0,0,0,8,2,1,-,0,10,1,0
10293,06/07-PL,2006/2007,Premier League,06/07-Niko Kranjcar,Niko Kranjcar,48,PFC,Midfielder,11,2,1,-,-,0,0,16,13,6,-,0,-,-,0
10294,06/07-PL,2006/2007,Premier League,06/07-Gary Cahill,Gary Cahill,47,AVILLA,Defender,19,0,0,6,0,3,0,6,1,0,-,0,27,13,0
10295,06/07-PL,2006/2007,Premier League,06/07-Matt Jackson,Matt Jackson,47,WAFC,Defender,17,1,1,5,1,1,0,13,3,2,-,0,33,19,0
10296,06/07-PL,2006/2007,Premier League,06/07-Nedum Onuoha,Nedum Onuoha,47,MCFC,Defender,15,0,0,4,2,0,0,7,3,4,-,0,18,6,0
10297,06/07-PL,2006/2007,Premier League,06/07-Gary Naysmith,Gary Naysmith,47,EVER,Defender,10,1,0,4,2,0,0,14,5,4,-,0,12,3,0
